,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
234,0 days 07:25:00,J5,2414,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
235,0 days 07:30:00,J5,2489,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
236,0 days 07:35:00,J5,2444,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
237,0 days 07:40:00,J5,2497,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
238,0 days 07:45:00,J5,2459,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
239,0 days 07:50:00,J5,2464,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
240,0 days 07:55:00,J5,2456,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
241,0 days 08:00:00,J5,2483,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
242,0 days 08:05:00,J5,2457,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
243,0 days 08:10:00,J5,2525,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
244,0 days 08:15:00,J5,2573,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
245,0 days 08:20:00,J5,2558,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
246,0 days 08:25:00,J5,2588,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
247,0 days 08:30:00,J5,2603,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
248,0 days 08:35:00,J5,2527,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
249,0 days 08:40:00,J5,2622,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
250,0 days 08:45:00,J5,2572,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
251,0 days 08:50:00,J5,2568,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
252,0 days 08:55:00,J5,2645,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
253,0 days 09:00:00,J5,2597,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
254,0 days 09:05:00,J5,2601,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
255,0 days 09:10:00,J5,2596,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
256,0 days 09:15:00,J5,2554,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
257,0 days 09:20:00,J5,2684,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
