,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
221,0 days 06:20:00,J5,2151,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
222,0 days 06:25:00,J5,2242,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
223,0 days 06:30:00,J5,2187,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
224,0 days 06:35:00,J5,2221,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
225,0 days 06:40:00,J5,2262,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
226,0 days 06:45:00,J5,2285,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
227,0 days 06:50:00,J5,2349,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
228,0 days 06:55:00,J5,2249,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
229,0 days 07:00:00,J5,2286,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
230,0 days 07:05:00,J5,2296,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
231,0 days 07:10:00,J5,2678,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
232,0 days 07:15:00,J5,2374,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
233,0 days 07:20:00,J5,2325,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
234,0 days 07:25:00,J5,2262,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
235,0 days 07:30:00,J5,2316,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
236,0 days 07:35:00,J5,2406,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
237,0 days 07:40:00,J5,2406,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
238,0 days 07:45:00,J5,2343,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
239,0 days 07:50:00,J5,2414,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
240,0 days 07:55:00,J5,2388,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
241,0 days 08:00:00,J5,2457,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
242,0 days 08:05:00,J5,2350,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
243,0 days 08:10:00,J5,2452,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
244,0 days 08:15:00,J5,2417,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
245,0 days 08:20:00,J5,2449,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
